Date,Temperature Max,Hours Open,Public Holiday,School Holiday,Day of the Week,Day of the Year,Crowd Size,Crowd Level
25/11/2021,14,13,0,0,4,329,,
26/11/2021,14,13,0,0,5,330,,
27/11/2021,14,13,0,0,6,331,,
28/11/2021,14,14,0,0,7,332,,
29/11/2021,14,14,0,0,1,333,,
30/11/2021,12,13,0,0,2,334,,
1/12/2021,13,13,0,0,3,335,,
2/12/2021,13,13,0,0,4,336,,
3/12/2021,13,14,0,0,5,337,,
4/12/2021,13,13,0,0,6,338,,
5/12/2021,13,14,0,0,7,339,,
6/12/2021,13,14,0,0,1,340,,
7/12/2021,12,10,0,0,2,341,,
8/12/2021,12,9,0,0,3,342,,
9/12/2021,12,9,0,0,4,343,,
10/12/2021,12,9,0,0,5,344,,
11/12/2021,12,11,0,0,6,345,,
12/12/2021,12,14,0,0,7,346,,
13/12/2021,12,14,0,0,1,347,,
14/12/2021,11,10,0,0,2,348,,
15/12/2021,11,9,0,0,3,349,,
16/12/2021,11,9,0,0,4,350,,
17/12/2021,11,9,0,0,5,351,,
18/12/2021,11,11,0,0,6,352,,
19/12/2021,11,14,0,0,7,353,,
20/12/2021,11,14,0,0,1,354,,
21/12/2021,11,14,0,0,2,355,,
22/12/2021,11,13,0,0,3,356,,
23/12/2021,11,14,0,0,4,357,,
24/12/2021,10,9,0,0,5,358,,
25/12/2021,10,11,0,1,6,359,,
26/12/2021,10,14,0,1,7,360,,
27/12/2021,10,14,0,1,1,361,,
28/12/2021,10,14,0,1,2,362,,
29/12/2021,10,14,0,1,3,363,,
30/12/2021,10,14,0,1,4,364,,
31/12/2021,10,12,1,1,5,365,,
